
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. PROC_SUBSYSTEM, 7028, 12309, 1305, 0, 2, 8, 10, 12, 66
.	. COREAHBTOAPB3_24s_0s, 99, 45, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 23, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 20, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. COREJTAGDEBUG_85_1s, 22, 125, 0, 0, 0, 0, 0, 3, 0
.	.	. uj_jtag_85, 22, 123, 0, 0, 0, 0, 0, 0, 0
.	. CORESPI_Z12, 192, 294, 26, 0, 0, 0, 2, 0, 0
.	.	. spi_32s_8s_32s_33s_1_1_1_0s_0s, 192, 294, 26, 0, 0, 0, 2, 0, 0
.	.	.	. spi_chanctrl_Z11, 121, 147, 14, 0, 0, 0, 0, 0, 0
.	.	.	.	. spi_clockmux, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_control_8s, 0, 4, 0, 0, 0, 0, 0, 0, 0
.	.	.	. spi_fifo_8s_32s_5_0, 18, 21, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_fifo_8s_32s_5_1, 18, 28, 6, 0, 0, 0, 1, 0, 0
.	.	.	. spi_rf_32s_0, 35, 57, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z4, 131, 161, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_1_1_0_192_0_0_0_0s, 131, 161, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_192_0s_0_1_0, 96, 77, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 2, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 14, 64, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_2_0, 13, 17, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 18, 20, 0, 0, 0, 0, 0, 0, 0
