Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,uSRAM 1K,LSRAM 18K,Math (18x18),PLLs and CCCs,Chip Globals,HPMS,HS USB,Multi-Mode UART,RCOSC_50MHZ
AXI_GLUE_LOGIC_0/Primitives,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_0/U_AhbToApbSM/Primitives,25,9,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_0/U_ApbAddrData/Primitives,18,88,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAHBTOAPB3_0/U_PenableScheduler/Primitives,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_AHBMasterCtrl/Primitives,430,135,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_AXIOutReg/Primitives,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_AXISlaveCtrl/Primitives,319,73,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_AXISlaveCtrl/U_WSRTBAddrOffset/Primitives,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_AXISlaveCtrl/U_WSTRBPopCntr/Primitives,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_rdFIFORAM/Primitives,0,69,144,144,0,0,4,0,0,0,0,0,0,0,0
COREAXITOAHBL_0/U_wrFIFORAM/Primitives,0,69,144,144,0,0,4,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_AHBMasterCtrl/Primitives,468,135,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_AXIOutReg/Primitives,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_AXISlaveCtrl/Primitives,293,74,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_AXISlaveCtrl/U_WSRTBAddrOffset/Primitives,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_AXISlaveCtrl/U_WSTRBPopCntr/Primitives,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_rdFIFORAM/Primitives,0,69,144,144,0,0,4,0,0,0,0,0,0,0,0
COREAXITOAHBL_1/U_wrFIFORAM/Primitives,0,37,72,72,0,0,2,0,0,0,0,0,0,0,0
COREJTAGDEBUG_0/Primitives,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
COREJTAGDEBUG_0/genblk1.UJ_JTAG_0/Primitives,99,16,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/Primitives,459,324,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/data/Primitives,0,0,144,144,0,0,0,4,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/dataArb/Primitives,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/fq/Primitives,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/meta/Primitives,2082,2703,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/metaReadArb/Primitives,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/metaWriteArb/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/DCache_1/tlb/Primitives,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/Primitives,2540,1426,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/alu/Primitives,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/bpu/Primitives,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/csr/Primitives,739,412,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/div/Primitives,372,119,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/core/div/WideMult_0_0/Primitives,0,0,72,72,0,0,0,0,2,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/icache/Primitives,227,65,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/icache/icache/Primitives,323,172,252,252,0,0,3,4,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/RocketTile_1/icache/tlb/Primitives,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/DebugModule_1/Primitives,673,362,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/LevelGateway_29_1/Primitives,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/LevelGateway_30_1/Primitives,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/NastiIOTileLinkIOConverter_1_1/Primitives,42,10,0,0,0,0,0,0,0,0,0,0,0,0,0
CORERISCV_AXI4_0/ChiselTop0/uncore/NastiIOTileLinkIOConverter_1_1/gnt_arb/Primitives,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0
