
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. PROC_SUBSYSTEM, 9944, 10463, 4048, 0, 2, 8, 17, 12, 58
.	. AXI_GLUE_LOGIC, 0, 20, 0, 0, 0, 0, 0, 0, 0
.	. COREAHBTOAPB3_24s_0s, 99, 45, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_AhbToApbSM_0s_0_1_0_1_2_3_4, 9, 25, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_ApbAddrData_0s, 88, 18, 0, 0, 0, 0, 0, 0, 0
.	.	. CoreAHBtoAPB3_PenableScheduler_0s_0_1_2, 2, 2, 0, 0, 0, 0, 0, 0, 0
.	. COREAXITOAHBL_5s_0s_0s_0s_2s_1, 415, 712, 80, 0, 0, 0, 8, 0, 0
.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_1, 135, 390, 40, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXIOutReg_5s, 69, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9, 73, 322, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSRTBAddrOffset, 0, 6, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSTRBPopCntr, 0, 37, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_0, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. COREAXITOAHBL_5s_0s_0s_0s_2s_1_0, 386, 724, 80, 0, 0, 0, 6, 0, 0
.	.	. COREAXITOAHBL_AHBMasterCtrl_Z10_1_0, 135, 428, 40, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXIOutReg_5s_0, 71, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_AXISlaveCtrl_Z9_1, 74, 296, 40, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSRTBAddrOffset_1, 0, 7, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAXITOAHBL_WSTRBPopCntr_1, 0, 36, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_1, 37, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. COREAXITOAHBL_RAM_syncWrAsyncRd_2, 69, 0, 0, 0, 0, 0, 4, 0, 0
.	. COREJTAGDEBUG_85_1s, 16, 101, 0, 0, 0, 0, 0, 3, 0
.	.	. uj_jtag_85, 16, 99, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z4, 66, 197, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_1_1_0_192_0_0_0_0s, 66, 197, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_1_1_0_192_0s_0_1_0, 56, 79, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_DEFAULTSLAVESM_0s_0_1, 1, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_0, 6, 54, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_2_0, 5, 21, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_SLAVESTAGE_0s_0_0_1, 4, 64, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_SLAVEARBITER_Z3_2, 3, 16, 0, 0, 0, 0, 0, 0, 0
.	. CoreAHBLite_Z7, 60, 178, 0, 0, 0, 0, 0, 0, 0
.	.	. COREAHBLITE_MATRIX4X16_0_1_0_65536_0_0_0_0s, 60, 178, 0, 0, 0, 0, 0, 0, 0
.	.	.	. COREAHBLITE_MASTERSTAGE_0_1_0_65536_0s_0_1_0, 56, 103, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	. COREAHBLITE_ADDRDEC_Z5, 0, 6, 0, 0, 0, 0, 0, 0, 0
